id,name,text,bookPage,completed,prayerorder_id
11,"ДОБРИЯТ ПЪТ
Молитва на ученика","Господи на Светлината, на всичката пълнота и благост, за която моят Учител ми е говорил за Тебе, изяви ми се тъй, както Ти благоволяваш, както на Теб е угодно.
Аз съм готов да изпълня Твоята Воля без никакво отклонение, без никакво двоумение, без никакво съмнение. Аз  ще бъда тъй верен и истинен, Господи, както Ти си верен и истинен, заради Името на моя Учител, чрез Когото Ти си ми говорил. Да се радвам винаги в присъствието на Твоето Слово, в изявлението на Твоя Велик и Свят Дух. И да бъда, Господи, като малките деца на Твоето Царство: послушен, прилежен, постоянен, търпелив, винаги доволен в безграничната Твоя Любов, Която Ти показваш към всички слаби и немощни, които търсят Пътя на Твоята Вечна Светлина, в която Ти обитаваш.
Моля Ти се, Господи, озарявай ме и да се не отдалечава присъствието на Благия Ти Дух от моята душа, от моето сърце, от моя ум, от моята воля.
Да бъда, Господи, носител на Твоето Слово, изпълнител на Твоята Воля, да върша всякога това, което на Тебе е угодно, това, което Ти искаш.
Да се всели Твоят Дух в моята душа и да се радвам аз в присъствието на Твоята Светлина, заради Името на моя Учител, с Което Ти си знаен в света.
Амин.",18,false,0
12,МОЛИТВА НА ДУХА,"Господи, Боже наш, да дойде Твоят благ Дух и да обгърне нашия дух в Своите обятия.
Да изпълни сърцето ни с необятната Любов, която изявява Твоето присъствие навсъде.
Да укрепи ръцете ни във всяка правда, нозете ни във всяка добрина.
Ние се покланяме пред Тебе, Вечния наш Баща, канара на нашия живот.
Благословен си Ти, благословено е Твоето Име в нашите души.
Укрепи ни, въздигни ни, да започнем служението за идване на Твоето Царство, с всяко веселие за изявената Любов към нас.
Само Ти си Един, Който ни познаваш и ние Те познаваме, че Ти си светлина за душите ни, простор за умовете ни, разширение за силата ни, крепост за духовете ни, пълнота за сърцата ни.
Ти си венец и слава в живота ни!
Амин.",19,false,0
13,"МОЛИТВА 
НА БЛАГОДАРНОСТТА","Благодарим Ти, Баща наш, за Вели­ка­та Любов, с Която си ни възлюбил. Благодарим Ти за живота, който си ни дал. Благодарим Ти за ума, който си вложил в нас. Благодарим Ти за Добродетелта, която си турил като основа на нашия живот. Благодарим Ти за Правдата, с която си ни заобиколил. Благодарим Ти за Любовта, с която си ни изпълнил. Благодарим Ти за Великата Ти Мъдрост и Те славим за Твоята Истина, с която си ни озарил. Ние се радваме на живота, който си ни дал, и изпълняваме Твоята Воля. Сега заради Духа, Който си изпратил да ни ръководи, бъди благословен от всинца ни, сега и всякога.
Амин.",20,false,0
14,"МОЛИТВА 
НА СВЕЩЕНАТА ЧИСТОТА","Господи, Боже наш, на всичката вът­реш­на пълнота на живота, ние заставаме пред Твоето Лице, според Великата Твоя Милост, която носи светлината на Твоето Лице, дар за нашите души.
Ние очистихме устата си и Славата Ти изпълни говора ни. Ние Те славим, ние Те хвалим. Благият Ти Дух очисти сърцата ни и ние възпяваме Твоето Име и приемаме Великата Радост, която То внася в живота ни.
Великият Ти Дух очисти умовете ни и в нас се зароди непреодолимо желание да работим за Славата на Твоето свято Име, да носим Великите Ти мисли по целия свят. Очистил си душите ни и в нас се зароди свещеното желание на Вечността, в която Ти обитаваш, да работим за благото на нашите ближни, за доброто на нашите души.
Заради Милостта Ти, която само в Теб обитава, благослови ни, просвети ни, повдигни ни, укрепи, възроди и изпълни с Благия Си Дух нашите души, за да Ти служим всякога с радост и веселие. Да носим образа на Любовта Ти, светлината на Истината Ти, съзвучието на Мъдростта Ти, основата на твоята Доброта и чисто­тата на твоята Правда.
Амин.",21,false,0
15,ЛОЗИНКА,"Господи, благослови и укрепи нашите души.
I. Молим се на Отца Нашего Небеснаго за прославлението и осветяването Името на Господа Бога Нашего на Земята между человеците и верующите, и избраните от Веригата на Господа на Славата – Спасител, Покровител, Който въздига и възкресява мъртвите и туря всичко в ред и порядък навсякъде. И да се благослови Името на Господа Исуса Христа, изяве­ното Слово Божие, и с Него всички, които Го любят.
II. Молим се на Отца Нашего Небес­наго за идването на Царството Божие на Земята между человеците и в сърцата на верующите и в душите на избраните. И да се тури в действие всяка Правда, всяка Доброта, всякаЛюбов, всяка Мъдрост и всяка Истина. И да се възцари Господ Бог наш, и да се изпълнят думите на Господа: „Отец е благоволил да ви даде Царство“.
И да се всели Духът на Господа Исуса Христа между нас и да се изпълни предвечното намерение на Отца Нашего на Светлините и на Светлите Духове, Комуто да бъде Слава и чест, и поклонение сега и всякога, през всичките векове.
III. Молим се на Отца Нашего Небес­наго за изпълнението Волята на Господа Бога Нашего на Земята, както е горе на Небето, между Светлите Ангелски Ликове. И да се въдвори Законът на Истината, Любовта и Правдата, за да бъдем всички в едно тяло и един Дух. И да се въдвори ред, съзвучие и хваление, да ни се даде знание да Го славим и да се радваме всички на Господа и Неговите дела. И да се всели Той в нашия живот и в делото на ръцете Си. Да даде живот и здраве, и дългоденствие на всички, които Нему уповават. Да ги избави от всички напасти на злото и лукавия. Да внесе мир в душите им. Да им даде изобилие на Своите благости. Да спомни Господ Бог наш Своите обещания. Да се смили над всички страдующи. Да благослови всички верующи, да укрепи Своите избрани, да им даде сила, знание и Мъдрост, и Любов – да побеждават заради Него и Неговото Свято Име. Да ни даде победа над всичките ни врагове, да победим докрай и да послужим на Господа с радост и веселие през всичките дни на нашия живот. Да ни озари с виделината на Своето Лице, да ни направи силни и крепки да творим добрата Му Воля, умни и незлобливи да ходим пред Него с пълнота. Да изцели всичките наши страдующи братя и сестри. Да благослови домовете им и децата им с тях наедно. Да благослови всичките им добри начинания на тялото, и душата, и духа.
И така да се въздигне Господ Бог в нас, както е горе на Небето.
Амин.",23,false,0
16,"ХВАЛА
ТРОИЧНИЯ ГОСПОД,
ЦАРЯ НА ВСИЧКИТЕ ВЕКОВЕ","Господи, Боже наш, душата ни тихо уповава на Тебе.
Открил си ни пътищата Си и виждаме Твоята Благост; изявил си ни Милостта Си и виждаме дълготърпението Ти; показал си ни Любовта Си и виждаме Твоята Доброта; посочил си ни Истината Си и виждаме Твоята Святост; изявил си ни Името Си и виждаме Твоята Правда; разкрил си ни Мъдростта Си и виждаме Твоите велики дела; обърнал си сърцето ни и виждаме Твоето присъствие навсъде; просветил си ума ни и виждаме Твоите творения, че всички са добри; опасал си ни със силата Си и познаваме Твоето могъщество.
И след всички добрини и благости, които си излял отгоре ни според Твоята вътрешна пълнота, нашето желание е винаги да гледаме Твоето Лице и да се радваме и веселим в пълнотата на Твоята Любов.
Ние Ти благодарим за Твоята гриж­­ливост, с която си ни заобиколил. Благо­дарим Ти, че Твоята Милост и Благост винаги ни следват. Благодарим Ти, че всякога ни слушаш и си готов винаги да ни дадеш помощ и да ни крепиш, когато сме в нужда.
Благий Господи, Светий Отче на Небето и Земята, избавяй ни от ухи­щренията на лукавия. Ето, Ти си ни говорил и ние вярваме, че Ти ще ни утвърдиш във век, за да Те славим.
Господи, Боже наш, Който си неиз­менен, закрепи нашите слаби братя и сестри, за да пребъдат в Тебе и Ти да пребъдеш в тях, както пребъдваш в мен, за да сме всички едно, както Ти в мен, тъй и аз в тях, за да бъдем всички Едно, за да Те прославим на Земята с плодовете, които ще принесем в правда и милост, за да просветнат делата ни пред человеците, щото като ги видят, да Те прославят.
Благий Отче, Ти, Който ни даваш живот и здраве, Който ни насищаш с хляб и вода и Който ни задоволяваш с хилядите Си благословения всеки ден, Твоето Слънце изгрява всяка заран като младоженец и тича в пътя, който си му начертал, като ни донася и раздава Твоите благословения, които си ни отредил. То, в Твое Име, оживотворява всичката Земя с нейната природа; въздига и донася облаците, напоява лицето ѝ с дъжд и влага; изважда всеки стрък изпод черната ѝ обвивка, украсява полските цветя с всичката им хубост, която отначало си им дал; развеселява всички живи същества и человека, когото си направил според образа и подобието Си; вдъхва в неговото сърце надежда и вяра да се труди и работи, като му казва, че Ти ще благословиш труда му.
Колко са многочислени Твоите наред­би, Господи! Всички те не могат да се изчислят.
Ние, всичките Твои чада, идем днес да Ти принесем своята благодарност, че си ни облякъл в дрехите Си на живота, и колко са хубави тия облекла, в които си ни обгърнал!
Благословений Господи, благословен от всичките векове, приеми сега нашата благодарителна молитва. 
Амин.",26,false,0
17,МИСИЯТА НА УЧИТЕЛЯ,"Господи, Боже наш, вечна Красота и Виделина на всички ни, нека съзвучието на Твоя живот да обгърне нашите души.
Отправяме нашите души към Тебе, извор на всяка благодат, Който даваш живот и здраве на Своите деца и ги утешаваш във всяко време.
Благословен си, Господи, Който ни ръководиш в пътя на Своята Виделина и ни благославяш чрез Духа на Своята безкрайна Милост и безмерна Любов, чрез която се изявява Твоята Слава. Сърцата ни имат тихо упование в Любовта Ти, която ни съживява.
Благодарим Ти за хубавия живот, който си ни дал, за всички добрини, които непрестанно правиш заради нас. Всички блага, с които ни обсипваш и обграждаш, идат от Тебе. Благодарим Ти за светлите мисли, възвишените чувства и благородните подтици, които Светият Ти Дух ни дарява.   
Виделината на Твоята Мъдрост да просветли умовете на всички народи, Истината Ти да възсияе във всички души и Любовта Ти да протече през всички сърца, за да влязат народите в света на Любовта и да познаят, че животът иде от Тебе.
Стори това, което си казал, че всички ще Ти се поклонят и ще прославят Твоето Име.
Подкрепи ръководителите на народи­те да възприемат Началата на Всемирното Бяло Братство и да вземат решения в съгласие с Божествения план за братство и обединение на народите.
Нека цялото Небе работи с Учителя и Неговата Мисия да се увенчае с успех. Словото на Учителя да озари всички съзнания, да бъде възприето и приложено навсякъде в света.
Събуди Духа на българския народ, на славянството и на всички народи, които Ти си призовал, за да изпълнят своята мисия.
Подкрепи всички свои работници, дай им сила, знание, любов и вдъхновение да работят с радост за Великото Ти Дело. Изпрати още работници на Твоята нива.
Простри Своето благословение над  нас,  които нищо не можем да направим без Твоята сила и благодат.
Ние искаме да живеем по закона на Любовта, за да можем чрез нея да разрешим въпросите, които седят пред вратата на нашите души, и да ходим в Твоя свят път.
Изпращай ни всеки ден Своя мир и Своята радост. Простри и днес ръката Си върху нас. Ти си ни крепил винаги с Любовта Си и ние ще Ти служим с всичкия си ум, с всичкото си сърце, с всичката си душа и с всичката си сила. От Тебе научихме великия пример в живота.
Нека нашият живот да принесе изобилен плод за Делото на Господа Исуса Христа и да бъде жертва жива, свята и благоугодна Нему. Светият Христов Дух да се всели в нас, за да ни въздигне и работи чрез нас.
Направи ни избран съсъд за Твоето Дело, укрепи ни да работим за идването на Твоето Царство и Неговата Правда на Земята. Учи ни да изпълняваме постоянно Твоята блага Воля и с нашия живот да прославим Твоето Име. Заради Своята Любов извърши всичко.
Амин.",29,false,0
18,"МОЛИТВА
ЗА БЛАГОСЛОВЕНИЕ 
НА БЪЛГАРСКИЯ НАРОД","Господи, Боже на Силите, в Името на Христа, чрез което Име Ти си благоволил да Те призоваваме, ние, Твоите чада, идем тази сутрин и припадаме пред Твоите нозе. Молбата ни, Господи, е да благословиш и опазиш българския народ, святата му верига, духовенството, управниците, министрите, земеделците, учителите, търговците, трудещите се в благороден труд, всички майки и бащи, които вършат Волята Ти, и всички добри хора, които работят за Твоето Царство на Земята. Да простреш десницата Си над тях и да ги помилваш.
Господи, възвиси Лицето Си над тях и дарувай им мир! 
Благослови тоя народ в превъзмогване всички ухищрения на лукавия и всичките му тъмни сили.
Молим Ти се, благослови душата и духа на тоя народ, за да Те хвали и слави през всичките векове на бъдещето.
Амин.",33,false,0
19,"МОЛИТВА
„ИЗВОРЪТ НА ДОБРОТО“","Господи, готов съм още сега да изпълня Твоята Воля, която движи всичко живо в света. Ако съм намерил благодат пред Тебе, нека да почувствам радостта Ти в името на Твоята Любов, Мъдрост и Истина. Господи, тури ме в огъня на Твоята Любов!
Господи, какво искаш да направя за възтържествуване на Царството Ти на Земята и за осветяване на Името Ти пред человеците!
Господи, научи ме да мисля за своите братя и сестри, както Ти мислиш за тях.
Амин.",34,false,0
20,"КРАСИВАТА МОЛИТВА
Молитва, дадена на група от 10 души","Господи, Боже, направи ни твърди като диаманта, за да станем основание на Новата Вселена. Направи ни като стълбове в твоята Жива Църква, за да възприемаме Божествения Живот за другите. Освети ни със силата на Святия Си Дух, за да можем със Словото, Мисълта и Делото да събуждаме заспалите души. Разкрий в нас, милий Боже, Божествената Си същност, помогни ни да се сдобием със сила, за да познаем Истината, да станем деца на Светлината, да ходим в Пътя на Правдата, за осъществяване на Плана Ти и за дохождане на Царството Ти на Земята.
Амин.",35,false,0
21,"УТРИННА МОЛИТВА 
НА УЧЕНИКА","Господи, Боже наш,
Душата ми е трепетна пред светлината на новия ден, който ме озарява. Благодаря Ти, че ме пробуди в ранина, когато Те славят разумният човек, птиците и чистите цветя. Благодаря Ти, че ми подаряваш и този ден живота и ме зовеш да продължа своята работа здрав и обновен. Благодаря Ти, че ми даваш условия да изпълня добрата Ти Воля и да я изявя с любов и разумност, като послужа на моите братя и сестри.
Моля Те, дарувай ми присъствието на благия Си Дух, да слушам като предан син Твоето ръководство и душата ми да не се отклонява от Закона Ти.
Дай ми сили, будност и любов да живея за цялото мое и общо повдигане на всички човеци, на всички същества и за идване на Царството Божие на Земята.
Нека Вечното Слънце на Твоята Любов озари с виделината си моята душа и душите на всички мои братя и сестри по лицето на Земята.
Нека Твоята Любов, Мъдрост и Истина, Правда и Добродетел зацаруват в живота на човека.
Нека всички човеци станат едно с Христа и светлите ангели, едно с Теб и Великото Бяло Братство.
Амин.",36,false,0
22,"Молитва,
дадена в 1922 год.","Господи, ние сме готови да изпълним Твоята Свята Воля абсолютно, без никак­ви изменения, и всичката ни радост ще бъде да Ти служим с всичкото си сърце, с всичката си душа, с целия си дух. Искаме да Те познаем като Любов вътре в нас и вън от нас. Да бъдеш Ти винаги във всичките ни начинания, във всичките ни мисли, желания и действия. Да бъдеш Ти начало и край на нашия живот. Начало на всичката Твоя благост и край на всичките наши недоразумения. Начало на Истината и край на лъжата. Начало на Мъдростта и край на глупостта. Начало на Силата и край на насилието. Да бъдеш Ти новото Начало, което е без начало и без край. Начало на Новата светлина, на Новия живот, който сега внасяш в душите ни. Ние Те познаваме, както Ти ни познаваш. Ние Те любим, както Ти ни любиш. Ние сме едно с Теб, както Ти си единственият в тази светлина.
Отсега нататък ще царува Твоята Любов и пълнотата на Твоята Милост през всичките дни на живота ни. Ние начеваме Новия живот. Слез при нас и ние ще дойдем при Теб, слез при душите ни, внеси Светлината Си в Новия живот.  Озари новите ни сърца, които си ни дал, и изпълни умовете ни със Светлината, която си внесъл в тях.
Благослови ни и ние ще носим Твоето благословение.
И така, нашият девиз е: Страх отвън, Любов отвътре, тъмнина отвън, а Светлина отвътре. С Любов и Светлина, ние сме душите на Любовта и Светлината.
Амин.",37,false,0
23,Молитва,"Да възкръсне Господ Христос в моята душа, това е желанието на моята душа. Да освети всички нейни кътчета. Да просвети ума ми с Неговата лъчезарна Мъдрост, да озари сърцето ми с Божията Любов, защото няма любов като Божията Любов,  и да се прояви Божествената Воля напълно в моята душа.
Вярвам, Господи, Ти, Който си ми обещал да ме възкресиш от мъртвите, защото си верен и истинен. Направи да възлюбя всички братя и сестри и ближни, както собствената си душа. Защото аз искам, Господи, Господ в мен,­ тази Божествена искра, която е в мен, иска всички възлюблени души, Господи, да влязат в моята душа, защото тъй ще са чисти удовете на това Велико Твое Тяло.
Моля Ти се, Ти, истински мой Баща, възрасти всичко Божествено, що си посадил от векове в моята душа, за да се прояви съгласно Волята Твоя. 
Призовавам Те, милостиви Отче, Святий Баща на верните Ти чада, стори милост за всичките. 
Амин.",39,false,0
24,Молитва на Духа на твърдото основание,"Господи, Боже мой, душата ми на Тебе уповава! Послушай молбата ми и дай внимание на молението ми! Повдигни духа ми и дай утеха на сърцето ми! Покажи ми, Господи, виделината на Твоето Лице и заради милостта Си подкрепи ме с присъствието на Твоя Свят Дух.
Амин.",40,false,0
25,Молитва към Великото Съзнание,"О, Безкрайно Велико Съзнание, моля Те, позволи ми да се доближа до Теб и да бъда тъй близко, безкрайно близко, за да се  почувствам като единна част от Битието и да се осъзная като цяло, което е излязло от Теб.
Освободи ме от всяка неправа мисъл, чувство, желание, съмнение, критика и самоосъждане и нека бъда тъй смирен, както Ти си ме създал.
Нека да Те усещам тъй близко до себе си, като най-близък приятел, с когото да не се разделям никога. Да ми бъдеш светлина в ума и да Те виждам в нея. Да ми бъдеш живот в сърцето и да Те виждам в него,  както виждам извън себе си. Да познавам само Твоите вечни закони в Природата и в цялата Вселена. Твоята непреривна Любов да ме свърже с Теб за вечни времена.
Амин.",41,false,0
26,Изгрев - Молитва,"1. Мога! ­Така да изгрее моето слънце в моята душа и да обнови моето сърце.
2. Можеш!­ Така да изгрее Божието слънце в мен и да обнови моята душа.
3. Може!­ Така да изгрее Слънцето на моя дух и да обнови моя ум.
4. Можем! Така да изгрее Слънцето на нашите ангели и да обнови нашите души.
5. Можете! Така да изгрее Слънцето на Великия Господ на Мира в нашите души и да обнови нашите сърца.
6. Могат! Така да изгрее Слънцето на всички слънца в нашите духове и да обнови нашите умове.
(Мога! Можеш! Може!	         Можем! Можете! Могат!
Мога аз, можеш Ти, Господи, Който си в мен и моята душа.
Може Великият Дух, Който ни ръководи. Можем ние, можете вие, които сте в нас и нашите души.
Могат Твоите всички духове, които ни ръководят.)
7. Вярвам в Тебе, Господи, Който си ми говорил в миналото.
8. Вярвам в Тебе, Господи, Който ми говориш сега.
9. Вярвам в Тебе, Господи, Който ще ми говориш в бъдеще.
10. Да дойде Твоята виделина върху всички, да се прослави Името Ти.
11. Да се въдвори Царството Ти и да се изпълни Волята Ти на Земята, както се изпълня горе на Небето.
Амин.",42,false,0
27,Молитва за просвета,"Просвети ме, о преблагий Исусе, с вътрешна виделина, и нека Твоята виде­лина  да осияе моето сърце и да разгони всичката негова тъмнина.
Запри заблудения ми ум и сломи силата на тези изкушения, които постоянно ме смущават. Покажи силата на ръката Си и укроти тия алчни и неразумни желания, така щото да намеря мир в Твоята сила и непрестанно да слушам в себе си глас на похвала.
Запрети на ветровете и на бурите, кажи на морето да не се вълнува и на вятъра: „Не духай вече!“ И ще стане го-ляма тишина.
Проводи Твоята Виделина и Твоята Истина да осияе Земята, защото аз съм тъмна и безплодна земя, додето Ти не ме осветиш.
Ободри моята отслабнала душа под бремето на тежките ѝ грехове. Отнеси всичките ми желания горе на небето, та като вкуся от това блаженство, с отвращение да гледам на тези земни неща.
Вдигни ме от тези скоропреходни неща, защото никой съседен предмет не може да удовлетвори или насити всецяло сърцето ми.
Съедини ме с Теб, Боже, посредством неразрушимата връзка на Любовта, защото само Ти стигаш до оня, който Те обича, а без Теб всичко е суета.
Амин.",43,false,0
28,Молитва на детето,"Подкрепяй ме, о Боже, Татко Благий, вси неволи да търпя и над съблазните всечасни да се съвзема с чистота.
И хлебеца ми благославяй, и въздуха, и чистата вода, и сън ми дай детски, чист и сладък, да бъда силен и крепък в труда. В сърце ми младо, Творче Благий, изливай щедро Твоята Любов, на вси страдащи да помагам и да възпявам Пътя Ти нов.
 Ти, Който можеш всичко и грижиш се безспир за мъничките птички и за целия земен мир, о, Боже, бди над мен от Своя слънчев свод, прати благословение над моя млад живот, да раста под Твоята благодат, под Твоята светла шир, да се събуждам с радост и да заспивам в мир.
Амин.",45,false,0
